action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,324314,[],CHEMBL651293,Inhibitory activity against Bcl-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C(C#N)C1c2cc(Br)ccc2OC(N)C1C(=O)OCC,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '12.27', 'le': '0.28', 'lle': '2.96', 'sei': '4.52'}",CHEMBL137135,,CHEMBL137135,5.05,0,http://www.openphacts.org/units/Nanomolar,262321,=,1,1,=,,IC50,nM,,9000.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,9.0
,,324315,[],CHEMBL651293,Inhibitory activity against Bcl-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(Cl)cc(C(=O)Nc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2Cl)c1O,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '11.64', 'le': '0.26', 'lle': '-0.27', 'sei': '6.57'}",CHEMBL334590,,CHEMBL334590,5.48,0,http://www.openphacts.org/units/Nanomolar,262319,=,1,1,=,,IC50,nM,,3300.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,3.3
,Not Active,329523,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL344254,,CHEMBL344254,,0,http://www.openphacts.org/units/Nanomolar,262317,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,329524,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc2ccc3c4cc5c(cc4c[n+](C)c3c2cc1OC)OCO5,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137740,,CHEMBL137740,,0,http://www.openphacts.org/units/Nanomolar,262341,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,329525,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,Cn1c(=O)c2nc(-[n+]3ccc(-c4ccccc4)cc3)[nH]c2n(C)c1=O,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137744,,CHEMBL137744,,0,http://www.openphacts.org/units/Nanomolar,262330,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,330672,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-],,,CHEMBL1134645,J Med Chem,2001,"{'bei': '16.59', 'le': '0.31', 'lle': '1.74', 'sei': '7.06'}",CHEMBL344184,,CHEMBL344184,4.98,0,http://www.openphacts.org/units/Nanomolar,262313,=,1,1,=,,IC50,nM,,10400.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,10.4
,,330673,[],CHEMBL649021,Inhibitory activity against Bcl-2 using bromide assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-],,,CHEMBL1134645,J Med Chem,2001,"{'bei': '17.97', 'le': '0.34', 'lle': '2.16', 'sei': '7.65'}",CHEMBL344184,,CHEMBL344184,5.40,0,http://www.openphacts.org/units/Nanomolar,262313,=,1,1,=,,IC50,nM,,4000.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,4.0
,Not Active,330674,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2cc([N+](=O)[O-])ccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1cc([N+](=O)[O-])ccc1-5,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137267,,CHEMBL137267,,0,http://www.openphacts.org/units/Nanomolar,262338,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,332035,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2ccccc2-c2cc(O)c3c4c(O)cc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL136987,,CHEMBL136987,,0,http://www.openphacts.org/units/Nanomolar,262339,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,332036,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,C[n+]1cc2c3cc4c(cc3ccc2c2ccc3c(c21)OCO3)OCO4,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL135315,,CHEMBL135315,,0,http://www.openphacts.org/units/Nanomolar,262344,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,334817,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,Cl.N=C(N)c1ccc(/N=N/c2c(O)ccc3c2[nH]c2ccccc23)cc1,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '15.90', 'le': '0.29', 'lle': '0.51', 'sei': '4.73'}",CHEMBL540363,,CHEMBL1190214,5.24,0,http://www.openphacts.org/units/Nanomolar,262349,=,1,1,=,,IC50,nM,,5800.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,5.8
,Not Active,334818,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,[O-][n+]1c2c([n+]([O-])c3c4ccccc4ccc31)-c1cccc3cccc-2c13,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL336901,,CHEMBL336901,,0,http://www.openphacts.org/units/Nanomolar,262336,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,334819,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,[O-][n+]1c2c([n+]([O-])c3c4ccccc4ccc31)-c1cccc3cccc-2c13,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL336901,,CHEMBL336901,,0,http://www.openphacts.org/units/Nanomolar,262335,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,334820,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,NCC(=O)c1ccc2cc(Br)c3ccccc3c2c1,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL343743,,CHEMBL343743,,0,http://www.openphacts.org/units/Nanomolar,262332,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,334821,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nc(N)c2c(n1)[n+]([O-])c1ccccc1[n+]2[O-],,,CHEMBL1134645,J Med Chem,2001,,CHEMBL335140,,CHEMBL335140,,0,http://www.openphacts.org/units/Nanomolar,262340,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,335994,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc2ccc3c[n+]4ccccc4cc3c2cc1OC,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137796,,CHEMBL137796,,0,http://www.openphacts.org/units/Nanomolar,262342,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,337273,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1c2ccccc2C(=O)c2c1ccc1nc3c(ccc4c(O)c5ccccc5c(O)c43)nc21,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL337140,,CHEMBL337140,,0,http://www.openphacts.org/units/Nanomolar,262345,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,337274,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,CN1COc2ccc3ccc4c(c3c2C1)CN(C)CO4,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL136016,,CHEMBL136016,,0,http://www.openphacts.org/units/Nanomolar,262343,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,337275,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C(CSc1ccccn1)c1sc2cccc[n+]2c1O,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL342944,,CHEMBL342944,,0,http://www.openphacts.org/units/Nanomolar,262326,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,337276,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc2cc[n+]3c4ccc([N+](=O)[O-])cc4ccc3c2cc1OC.[Cl-],,,CHEMBL1134645,J Med Chem,2001,,CHEMBL609717,,CHEMBL136983,,0,http://www.openphacts.org/units/Nanomolar,262325,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,338549,[],CHEMBL651292,In vitro inhibitory activity against Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2c(c1)C(=O)C1C=C([N+]#N)C=CC1N2.[Cl-],,,CHEMBL1134645,J Med Chem,2001,"{'bei': '19.60', 'le': '0.36', 'lle': '2.39', 'sei': '7.50'}",CHEMBL137800,,CHEMBL1180673,4.98,0,http://www.openphacts.org/units/Nanomolar,262315,=,1,1,=,,IC50,nM,,10400.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,10.4
,Not Active,338550,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)N(c1ccccc1)C5=O,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL342179,,CHEMBL342179,,0,http://www.openphacts.org/units/Nanomolar,262334,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,338551,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,c1cc[n+]2c(c1)-c1cccc[n+]1CCC2,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137177,,CHEMBL137177,,0,http://www.openphacts.org/units/Nanomolar,262347,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,338552,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,O=c1c2ccccc2c2nc3ccc4c(=O)c5ccccc5c5nc6ccc1c2c6c3c45,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137369,,CHEMBL137369,,0,http://www.openphacts.org/units/Nanomolar,262346,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,Not Active,338553,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,OC1C[n+]2cc3ccccn3c2-c2cccc[n+]21,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL343296,,CHEMBL343296,,0,http://www.openphacts.org/units/Nanomolar,262328,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,339975,[],CHEMBL651293,Inhibitory activity against Bcl-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,,,CHEMBL1134645,J Med Chem,2001,"{'bei': '10.95', 'le': '0.21', 'lle': '3.00', 'sei': '3.62'}",CHEMBL436605,ANTIMYCIN A3,CHEMBL436605,5.70,0,http://www.openphacts.org/units/Nanomolar,262318,=,1,1,=,,IC50,nM,,2000.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,2.0
,Not Active,342354,[],CHEMBL875933,In vitro inhibition of Bak-Bh3 peptide binding to the Bcl-2 using human myeloid leukemia cell line HL-60; Inactive,B,,,BAO_0000190,BAO_0000019,assay format,c1cc[n+]2cc3ccc4c[n+]5ccccc5cc4c3cc2c1,,,CHEMBL1134645,J Med Chem,2001,,CHEMBL137306,,CHEMBL137306,,0,http://www.openphacts.org/units/Nanomolar,262337,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
,,1244283,[],CHEMBL649854,Inhibitory activity against Bcl-2 functioning,F,,,BAO_0000190,BAO_0000019,assay format,CCSCCCCC(c1ccc(O)cc1)C(C)(CC)c1ccc(O)cc1,,,CHEMBL1135909,J Med Chem,2002,,CHEMBL2374449,,CHEMBL2374449,,0,http://www.openphacts.org/units/Nanomolar,62824,~,1,1,~,,IC50,nM,,9000.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,9.0
,,1617644,[],CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,B,,,BAO_0000190,BAO_0000357,single protein format,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,,,CHEMBL1142844,Bioorg Med Chem Lett,2005,"{'bei': '2.09', 'le': None, 'lle': None, 'sei': None}",CHEMBL411747,,CHEMBL411747,6.52,0,http://www.openphacts.org/units/Nanomolar,405278,=,1,1,=,,IC50,nM,,300.0,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,0.3
,Not Active,1617645,[],CHEMBL880570,Inhibition of BCL2 by fluorescence polarization based competitive binding assay,B,,,BAO_0000190,BAO_0000357,single protein format,CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,,,CHEMBL1142844,Bioorg Med Chem Lett,2005,,CHEMBL439314,,CHEMBL439314,,0,http://www.openphacts.org/units/Nanomolar,405279,,1,0,,,IC50,nM,,,CHEMBL4860,Homo sapiens,Apoptosis regulator Bcl-2,9606,,,IC50,uM,UO_0000065,,
